,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Siddarth Kaul,BOWLERS,2008,False,Right hand Bat,Right arm Medium,KKR
Ajantha Mendis,BOWLERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,KKR
Ishant Sharma,BOWLERS,"2008,2009,2010",False,Right hand Bat,Right arm Fast medium,KKR
Shoaib Akhtar,BOWLERS,2008,False,Right hand Bat,Right arm Fast,KKR
Umar Gul,BOWLERS,2008,False,Right hand Bat,Right arm Fast medium,KKR
Sachin Tendulkar,BATTERS,"2008,2009,2010",False,Right hand Bat,"Right arm Offbreak, Legbreak Googly",MI
Loots Bosman,BATTERS,2008,False,Right hand Bat,Right arm Medium,MI
Ankeet Chavan,BATTERS,2008,False,Left hand Bat,Slow Left arm Orthodox,MI
Siddharth Chitnis,BATTERS,"2008,2009",False,Right hand Bat,Right arm Offbreak,MI
Manish Pandey,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Medium,MI
Ashwell Prince,BATTERS,2008,False,Left hand Bat,Right arm Offbreak,MI
Ajinkya Rahane,BATTERS,"2008,2009",False,Right hand Bat,Right arm Medium,MI
Luke Ronchi,BATTERS,"2008,2009",True,Right hand Bat,,MI
Pinal Shah,BATTERS,"2008,2009",True,Right hand Bat,,MI
Dominic Thornely,BATTERS,2008,False,Right hand Bat,"Right arm Medium, Right arm Offbreak",MI
Saurabh Tiwary,BATTERS,"2008,2009,2010",False,Left hand Bat,,MI
Robin Uthappa,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Medium,MI
Dwayne Bravo,ALLROUNDERS,2008,False,Right hand Bat,Right arm Medium,MI
Gaurav Dhiman,ALLROUNDERS,"2008,2009",False,Right hand Bat,Right arm Fast medium,MI
Sanath Jayasuriya,ALLROUNDERS,"2008,2009,2010",False,Left hand Bat,Slow Left arm Orthodox,MI
Abhishek Nayar,ALLROUNDERS,"2008,2009,2010",False,Left hand Bat,Right arm Medium,MI
Shaun Pollock,ALLROUNDERS,2008,False,Right hand Bat,Right arm Fast medium,MI
Dwayne Smith,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Right arm Medium,MI
Dilhara Fernando,BOWLERS,"2008,2010",False,Right hand Bat,Right arm Fast medium,MI
Harbhajan Singh,BOWLERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,MI
Dhawal Kulkarni,BOWLERS,"2008,2009,2010",False,Right hand Bat,Right arm Medium,MI
Ashish Nehra,BOWLERS,"2008,2009,2010",False,Right hand Bat,Left arm Medium fast,MI
Andre Nel,BOWLERS,2008,False,Right hand Bat,Right arm Fast medium,MI
Rajesh Pawar,BOWLERS,2008,False,Left hand Bat,Slow Left arm Orthodox,MI
Swapnil Singh,BOWLERS,2008,False,Right hand Bat,Slow Left arm Orthodox,MI
Musavir Khote,BOWLERS,2008,False,Right hand Bat,Right arm Medium,MI
Rohan Raje,BOWLERS,"2008,2009",False,Right hand Bat,Right arm Fast medium,MI
Yogesh Takawale,BOWLERS,"2008,2009",False,Right hand Bat,,MI
Vikrant Yeligati,BOWLERS,2008,False,Right hand Bat,Right arm Offbreak,MI
Yuvraj Singh,BATTERS,"2008,2009,2010",False,Left hand Bat,Slow Left arm Orthodox,PBKS
Mahela Jayawardene,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Medium,PBKS
Karan Goel,BATTERS,"2008,2009,2010",False,Left hand Bat,Right arm Offbreak,PBKS
